date,open,high,low,close,adjc,volume
2012-04-26,26400,26800,26340,26800,21924,16479500
2012-04-27,27100,27660,27020,27480,22480,15905350
2012-04-30,27900,28180,27540,27800,22742,15757100
2012-05-02,28200,28360,27980,28200,23069,18420750
2012-05-03,28040,28200,27960,28020,22922,10327050
2012-05-04,27500,27960,26980,27200,22251,20484300
2012-05-07,26840,27060,26500,26840,21956,18908450
2012-05-08,26960,27040,26780,26820,21940,12048600
2012-05-09,26700,26960,26480,26620,21776,12661700
2012-05-10,26580,26720,26440,26540,21711,13145000
2012-05-11,26300,26460,26060,26060,21318,13626400
2012-05-14,26100,26540,26080,26280,21498,15092100
2012-05-15,26080,26400,26000,26220,21449,15558100
2012-05-16,25960,26000,24560,24600,20124,38488900
2012-05-17,24600,24860,24020,24460,20009,33041100
2012-05-18,24080,24100,23300,23320,19077,30023750
2012-05-21,23880,24320,23800,24180,19780,23702750
2012-05-22,25100,25100,24540,24800,20288,23830550
2012-05-23,24800,24800,23900,24420,19977,16157100
2012-05-24,24260,24500,23960,24500,20042,15251250
2012-05-25,24660,24920,24460,24500,20042,10164250
2012-05-29,24240,24760,24120,24760,20255,10815350
2012-05-30,24760,24800,24300,24520,20058,12653250
2012-05-31,24260,24260,23840,24220,19813,22106900
2012-06-01,24260,24740,23980,24660,20173,13554450
2012-06-04,23960,24100,23840,23920,19568,18068750
2012-06-05,24020,24180,23860,24060,19682,12848900
2012-06-07,24780,25300,24660,25300,20697,20928350
2012-06-08,25500,25500,24900,24940,20402,9956350
2012-06-11,25440,25500,25320,25360,20746,9906200
2012-06-12,24920,25200,24900,25100,20533,8805200
2012-06-13,25320,25480,25120,25420,20795,9572600
2012-06-14,25380,25420,25120,25220,20631,21995050
2012-06-15,25000,25200,24280,24340,19911,30404200
2012-06-18,24800,25140,24680,24860,20337,17608150
2012-06-19,24900,24940,24440,24880,20353,14839400
2012-06-20,24980,25300,24900,25040,20484,13237700
2012-06-21,24680,24840,24520,24540,20075,12753750
2012-06-22,23780,24040,23600,23640,19339,31294350
2012-06-25,23420,23560,22560,22640,18521,41318100
2012-06-26,22660,22980,22580,22780,18635,25283500
2012-06-27,22800,23540,22600,23340,19093,23542000
2012-06-28,23340,23600,23060,23360,19118,10398350
2012-06-29,23340,24020,23060,24020,19658,18604450
2012-07-02,24160,24180,23420,23480,19216,19106750
2012-07-03,23640,23860,23400,23500,19232,15801550
2012-07-04,23640,23940,23560,23820,19494,19158750
2012-07-05,23740,23880,23540,23700,19396,9068550
2012-07-06,23880,23880,23060,23220,19003,21158900
2012-07-09,22700,22760,22520,22520,18430,21282300
2012-07-10,22700,22840,22420,22540,18447,17720700
2012-07-11,22580,22660,22160,22360,18299,18001300
2012-07-12,22420,22520,21820,21820,17857,24858600
2012-07-13,21920,22880,21820,22780,18643,27070750
2012-07-16,22900,23100,22660,23040,18856,15261950
2012-07-17,22960,23560,22720,23360,19118,15885300
2012-07-18,23580,23700,22760,23080,18889,14618050
2012-07-19,23600,24040,23440,23900,19560,24847100
2012-07-20,24040,24060,23820,23820,19494,11992100
2012-07-23,23300,23400,23100,23240,19019,12844350
2012-07-24,23300,23500,23180,23400,19150,14598050
